Unix Time,System usec,ID (Hex),DLC,B0,B1,B2,B3,B4,B5,B6,B7
1477874825.000003,4332806,1CFFFFFF,8,00,0E,1E,A4,80,78,22,C1
1477874825.000011,4332814,1CFFFFFF,8,00,0E,1E,A5,80,78,25,28
1477874825.000018,4332822,1CFFFFFF,8,00,0E,1E,A6,80,78,26,51
1477874825.000026,4332829,1CFFFFFF,8,00,0E,1E,A7,80,78,27,81
1477874825.000034,4332837,1CFFFFFF,8,00,0E,1E,A8,80,78,28,AA
1477874825.000041,4332845,1CFFFFFF,8,00,0E,42,EB,80,A2,96,8D
1477874825.000239,4333042,1CFFFFFF,8,00,0E,43,0C,80,A2,BD,17
1477874825.000540,4333343,1CFFFFFF,8,00,0E,43,0D,80,A2,BE,40
1477874825.000839,4333642,1CFFFFFF,8,00,0E,43,0E,80,A2,BF,69
1477874825.001140,4333943,1CFFFFFF,8,00,0E,43,0F,80,A2,C0,93
1477874825.001438,4334242,1CFFFFFF,8,00,0E,43,10,80,A2,C1,BC
1477874825.001735,4334538,1CFFFFFF,8,00,0E,43,11,80,A2,C2,EC
1477874825.002034,4334837,1CFFFFFF,8,00,0E,43,12,80,A2,C4,15
1477874825.002332,4335136,1CFFFFFF,8,00,0E,43,13,80,A2,C5,3E
1477874825.002629,4335432,1CFFFFFF,8,00,0E,43,14,80,A2,C6,6E
1477874825.002925,4335728,1CFFFFFF,8,00,0E,43,15,80,A2,C7,97
1477874825.003224,4336028,1CFFFFFF,8,00,0E,43,16,80,A2,C8,C0
1477874825.003523,4336326,1CFFFFFF,8,00,0E,43,17,80,A2,C9,E3
1477874825.003824,4336627,1CFFFFFF,8,00,0E,43,18,80,A2,CB,12
1477874825.004120,4336923,1CFFFFFF,8,00,0E,43,19,80,A2,CC,3C
1477874825.004416,4337220,1CFFFFFF,8,00,0E,43,1A,80,A2,CD,65
1477874825.004714,4337517,1CFFFFFF,8,00,0E,43,1B,80,A2,CE,8E
1477874825.005014,4337817,1CFFFFFF,8,00,0E,43,1C,80,A2,CF,B7
1477874825.005309,4338113,1CFFFFFF,8,00,0E,43,1D,80,A2,D0,E1
1477874825.005605,4338409,1CFFFFFF,8,00,0E,43,1E,80,A2,D2,10
1477874825.005903,4338706,1CFFFFFF,8,00,0E,43,1F,80,A2,D3,33
1477874825.006204,4339007,1CFFFFFF,8,00,0E,43,20,80,A2,D4,5C
1477874825.006499,4339302,1CFFFFFF,8,00,0E,43,21,80,A2,D5,86
1477874825.006797,4339600,1CFFFFFF,8,00,0E,43,22,80,A2,D6,B5
1477874825.007101,4339905,1CFFFFFF,8,00,0E,43,23,80,A2,D7,DF
1477874825.007401,4340205,1CFFFFFF,8,00,0E,43,24,80,A2,D9,08
1477874825.007699,4340502,1CFFFFFF,8,00,0E,43,25,80,A2,DA,38
1477874825.007995,4340798,1CFFFFFF,8,00,0E,43,26,80,A2,DB,61
1477874825.008290,4341094,1CFFFFFF,8,00,0E,43,27,80,A2,DC,8A
1477874825.008586,4341389,1CFFFFFF,8,00,0E,43,28,80,A2,DD,B3
1477874825.008884,4341687,1CFFFFFF,8,00,0E,43,29,80,A2,DE,DD
1477874825.009186,4341990,1CFFFFFF,8,00,0E,43,2A,80,A2,E0,06
1477874825.009482,4342285,1CFFFFFF,8,00,0E,43,2B,80,A2,E1,2F
1477874825.009782,4342585,1CFFFFFF,8,00,0E,43,2C,80,A2,E2,58
1477874825.010080,4342883,1CFFFFFF,8,00,0E,43,2D,80,A2,E3,82
1477874825.010378,4343181,1CFFFFFF,8,00,0E,43,2E,80,A2,E4,AB
1477874825.010678,4343481,1CFFFFFF,8,00,0E,43,2F,80,A2,E5,DB
1477874825.010976,4343780,1CFFFFFF,8,00,0E,43,30,80,A2,E7,04
1477874825.011276,4344080,1CFFFFFF,8,00,0E,43,31,80,A2,E8,2D
1477874825.011574,4344378,1CFFFFFF,8,00,0E,43,32,80,A2,E9,5D
