Time,PGN,SPN,Value
1385746874.000045,EEC1,61444,Engine Speed,0.000
1385746874.000980,EEC1,61444,Engine Speed,0.000
1385746874.012239,EEC1,61444,Engine Speed,0.000
1385746874.020751,EEC1,61444,Engine Speed,0.000
1385746874.030763,EEC1,61444,Engine Speed,0.000
1385746874.040751,EEC1,61444,Engine Speed,0.000
1385746874.050767,EEC1,61444,Engine Speed,0.000
1385746874.060749,EEC1,61444,Engine Speed,0.000
1385746874.070760,EEC1,61444,Engine Speed,0.000
1385746874.081261,EEC1,61444,Engine Speed,0.000
1385746874.090764,EEC1,61444,Engine Speed,0.000
1385746874.100750,EEC1,61444,Engine Speed,0.000
1385746874.110760,EEC1,61444,Engine Speed,0.000
1385746874.120748,EEC1,61444,Engine Speed,0.000
1385746874.130765,EEC1,61444,Engine Speed,0.000
1385746874.140748,EEC1,61444,Engine Speed,0.000
1385746874.150758,EEC1,61444,Engine Speed,0.000
1385746874.160747,EEC1,61444,Engine Speed,0.000
1385746874.170759,EEC1,61444,Engine Speed,0.000
1385746874.181300,EEC1,61444,Engine Speed,0.000
1385746874.190763,EEC1,61444,Engine Speed,0.000
1385746874.200746,EEC1,61444,Engine Speed,0.000
1385746874.210759,EEC1,61444,Engine Speed,0.000
1385746874.221014,EEC1,61444,Engine Speed,0.000
1385746874.230759,EEC1,61444,Engine Speed,0.000
1385746874.240744,EEC1,61444,Engine Speed,0.000
1385746874.250757,EEC1,61444,Engine Speed,0.000
1385746874.260701,EEC1,61444,Engine Speed,0.000
1385746874.270757,EEC1,61444,Engine Speed,0.000
1385746874.281305,EEC1,61444,Engine Speed,0.000
1385746874.290757,EEC1,61444,Engine Speed,0.000
1385746874.301704,EEC1,61444,Engine Speed,0.000
1385746874.310755,EEC1,61444,Engine Speed,0.000
1385746874.320743,EEC1,61444,Engine Speed,0.000
1385746874.330756,EEC1,61444,Engine Speed,0.000
1385746874.340744,EEC1,61444,Engine Speed,0.000
1385746874.350755,EEC1,61444,Engine Speed,0.000
1385746874.361700,EEC1,61444,Engine Speed,0.000
1385746874.370755,EEC1,61444,Engine Speed,0.000
1385746874.381294,EEC1,61444,Engine Speed,0.000
1385746874.390753,EEC1,61444,Engine Speed,0.000
1385746874.400741,EEC1,61444,Engine Speed,0.000
1385746874.410751,EEC1,61444,Engine Speed,0.000
